Section,Question,"What we are asking for, and why",Required?,How to answer,Allowed answers,Example,YOUR ANSWER,Notes or questions for us,Field name (internal)
1. Business identity,Organization name,"The trading name of the business exactly as customers know it. If you trade under more than one name, put the main one here.",Required,One line of text,—,Al Noor Kitchen,,,name
1. Business identity,Industry,What kind of business this is. Pick the single closest match from the Industry list. This only classifies the business for reporting; it does not change how anything works.,Required,Pick one,See 'Choice lists' → Industry,Restaurant and food service,,,industry
1. Business identity,Primary markets,"The countries where your customers actually are. Pick every country you sell to today, not ones you hope to enter later.",Optional,Pick one or more,See 'Choice lists' → Countries / markets,United Arab Emirates; Saudi Arabia,,,market
1. Business identity,Reporting currency,The currency you want every budget and performance report shown in. Usually the currency your bank account is in.,Optional,Pick one,See 'Choice lists' → Currencies,AED,,,baseCurrency
1. Business identity,Legal or operating identity,"The registered company or trade licence name, if it is different from the name customers see. Leave blank if they are the same.",Optional,One line of text,—,Al Noor Foodstuff Trading LLC,,,legalIdentity
1. Business identity,Value proposition,"In a few sentences: why does a customer choose you over the place next door? Write it in plain language, the way you would explain it to a new employee.",Optional,Short paragraph,—,"Home-style Emirati food made fresh daily, delivered hot across Dubai in under 40 minutes.",,,valueProposition
2. Branches and operations,Branchless operation,"Answer Yes only if the business has no physical location at all — for example a cloud kitchen with no customer-facing site, or a purely online business. If you answer Yes you can leave the Branches question blank.",Required,Yes or No,Yes / No,No,,,branchlessConfirmed
2. Branches and operations,Branches,"Every physical location you operate, one per line. Use the name your team uses for it. Required unless you answered Yes to 'Branchless operation' above.",Required,List — one per line,—,"Jumeirah
Al Barsha
Deira",,,branches
2. Branches and operations,Operating hours,"The normal weekly opening hours customers can rely on. Fill these in on the 'Opening hours' sheet, not here. Public holidays and one-off closures do not belong here.",Required,Fill in the 'Opening hours' sheet,"Times in 24-hour format, on the hour or half hour",See 'Opening hours' sheet,,,operatingHours
2. Branches and operations,Service areas,"The delivery zones, districts, or regions you cover, one per line. Skip this if you do not deliver or travel to customers.",Optional,List — one per line,—,"Dubai Marina
JLT
Business Bay",,,serviceArea
2. Branches and operations,Capacity and constraints,"The practical limits on how much business you can take. Seats, kitchen throughput at peak, delivery drivers available, staffing gaps on certain days. This stops us from driving demand you cannot serve.",Optional,Short paragraph,—,60 covers indoors. Kitchen handles about 25 delivery orders an hour at peak. Only one driver after 10pm.,,,capacity
3. Products or services,Products or services,"Your headline products or services, one per line — the ones that matter most to sales. You do not need the full menu here; a full menu or price list can be sent as a file instead (see section 10).",Required,List — one per line,—,"Chicken machboos
Lamb ouzi
Mixed grill platter",,,items
3. Products or services,Categories,The broad groups your offer falls into. Pick every one that applies.,Optional,Pick one or more,See 'Choice lists' → Product or service categories,Mains; Beverages; Combos or bundles,,,categories
3. Products or services,Pricing currency,The currency your prices are set in. Usually the same as the reporting currency.,Optional,Pick one,See 'Choice lists' → Currencies,AED,,,averageOrderCurrency
3. Products or services,Average order value,"What a typical single order or booking is worth, before any discount. Write it the normal way, with decimals — for example 45.00. If it varies a lot by channel, give the overall average and note the variation in the next question.",Optional,Money amount,A number in the pricing currency above,45.00,,,averageOrderValueMinor
3. Products or services,Availability and modifiers,"Anything that changes what is on sale: seasonal items, weekend-only dishes, add-ons and extras, items that regularly sell out, minimum order sizes.",Optional,Short paragraph,—,"Seafood specials on Fridays only. Family platters need 2 hours' notice. Add-ons: extra rice, extra sauce.",,,availability
4. Channels and digital presence,Owned and marketplace channels,Every place customers can find or buy from you today. Pick all that apply. Do not include channels you plan to open later.,Required,Pick one or more,See 'Choice lists' → Sales and marketing channels,Website; Instagram; Talabat; Walk-in / in-store,,,channels
4. Channels and digital presence,Public profile links,"The public web address of each channel above, one per line. Full links are best. Never put passwords or login details here — access is granted separately through a secure connection flow.",Optional,List — one per line,—,"https://instagram.com/alnoorkitchen
https://alnoorkitchen.ae",,,profiles
4. Channels and digital presence,Account ownership,"Who owns the logins for the accounts above — your business, the agency, or a mix. This matters if the working relationship ever changes.",Optional,Pick one,See 'Choice lists' → Account ownership,Client owned,,,accountOwnership
4. Channels and digital presence,Conversion tracking,Whether you can currently see which marketing actually produced a sale. Only pick 'Connected and verified' if somebody has checked the numbers are correct end to end — over-stating this makes every later result unreliable.,Required,Pick one,See 'Choice lists' → Conversion tracking status,Partially connected,,,conversionTrackingStatus
5. Historical performance,Historical metrics,Which past figures you can actually produce from a report or export. Pick only what you can evidence — not what could be estimated. It is completely fine to pick just one or two.,Required,Pick one or more,See 'Choice lists' → Historical metrics,Revenue; Orders or transactions; Marketing spend,,,metrics
5. Historical performance,Measurement period,"The months these figures cover — a finished window, not one still running. Write the first and last month as YYYY-MM. Both months are included.",Required,Two months: start and end,"Format YYYY-MM, for example 2025-01","Start 2025-01, End 2025-12",,,period
5. Historical performance,Currency,The currency the figures above are stated in.,Required,Pick one,See 'Choice lists' → Currencies,AED,,,currency
5. Historical performance,Source and quality,Where these numbers came from. This tells us how much weight to put on them.,Optional,Pick one,See 'Choice lists' → Source of the performance figures,POS export,,,source
5. Historical performance,Source notes,"Anything that would mislead somebody reading these figures cold: months with missing data, whether refunds and cancellations are taken out, a branch that opened mid-period, VAT included or not.",Optional,Short paragraph,—,Revenue excludes VAT. Refunds are not deducted. March is missing — the POS was replaced that month.,,,sourceNotes
5. Historical performance,The figures themselves,Please attach or send the actual numbers as an export or spreadsheet rather than retyping them here — an original report is always more reliable than a re-keyed one. List what you are sending in the 'Upload notes' question in section 10.,Optional,Send as a separate file,—,pos-export-2025.csv,,,(actual figures)
6. Cost structure,What each order costs,"What a single order costs you before profit — commission, ingredients, packaging, delivery, payment fees. Fill this in on the 'Cost structure' sheet, one row per cost. Price what you know and leave the rest blank; nothing is guessed on your behalf. Where a cost genuinely does not apply, write 0 rather than leaving it empty — that is a real answer and a useful one.",Required,Fill in the 'Cost structure' sheet,"Percentages 0–100, or amounts of money",See 'Cost structure' sheet,,,costRates
6. Cost structure,In force from,"The date these cost figures started applying. If your marketplace commission changed in June, use the date of the change. Earlier months keep the older figures, so a change now never rewrites a profit figure you have already seen.",Required,Date,"Format YYYY-MM-DD, for example 2026-06-01",2026-06-01,,,effectiveFrom
6. Cost structure,Source and caveats,"Anything that qualifies the cost figures: contract references, rates that drop once you pass a volume tier, different commissions per marketplace, costs nobody knows yet.",Optional,Short paragraph,—,Talabat commission drops to 22% above AED 150k a month. Packaging cost is from the March supplier invoice.,,,sourceNotes
7. Customers and consent,Customer segments,The customer groups that genuinely exist in your business today. Pick all that apply.,Required,Pick one or more,See 'Choice lists' → Customer segments,New customers; Repeat customers; Delivery-first,,,segments
7. Customers and consent,First-party data availability,"Where you hold customer contact details that belong to your business. 'First-party' simply means data you collected yourself, rather than data a platform holds about your customers.",Optional,Pick one or more,See 'Choice lists' → First-party customer data you hold,POS history; Email list; Loyalty programme,,,dataAvailability
7. Customers and consent,Consent confirmation source,"Whether your customers agreed to be contacted with marketing, and who is confirming that. This is a legal statement, so it must come from a person — never a system, and never an assumption. 'Unknown' is a perfectly acceptable answer and is far better than a hopeful one.",Required,Pick one,See 'Choice lists' → Consent confirmation source,Confirmed by the client,,,consentStatus
7. Customers and consent,Retention and contactability constraints,"Any rules limiting how you may contact customers: how long you keep records, how opt-outs are handled, channels you are not allowed to use, quiet hours, or contract terms with a marketplace that forbid contacting its customers.",Optional,Short paragraph,—,We delete customer records after 24 months. Marketplace customers must not be contacted directly. No SMS after 9pm.,,,retentionConstraints
8. Brand assets,Brand voice,How your brand should sound to a customer. Pick the traits that fit; two or three is usually enough.,Required,Pick one or more,See 'Choice lists' → Brand voice,Warm; Traditional; Conversational,,,brandVoice
8. Brand assets,Languages,Every language you communicate with customers in. Pick all that apply.,Required,Pick one or more,See 'Choice lists' → Languages,Arabic; English,,,languages
8. Brand assets,Asset sources,"Where your approved logos, photos, and brand guidelines live, one per line. A shared folder link or a description of who holds them is fine.",Optional,List — one per line,—,"Brand guidelines: Google Drive → Marketing → Brand
Food photography: Dropbox → Shoots 2025",,,assetSources
8. Brand assets,Claims and approvals,"Anything we must not say, and who signs off on what we do say. Wording your industry regulates, health or origin claims you cannot make, competitor comparisons you avoid — and the name and role of the person who approves public copy.",Optional,Short paragraph,—,Never claim 'organic' — we are not certified. All halal wording must be approved by Fatima (Operations Manager) before publishing.,,,claimsRestrictions
"9. Goals, budget and approvals",Measurable goals,"What you want this to achieve, one goal per line. Each goal needs a number and a date, otherwise nobody can tell later whether it worked. 'Grow the business' cannot be measured; 'increase repeat orders by 15% by December 2026' can.",Required,List — one per line,—,"Increase repeat orders by 15% by December 2026
Bring delivery customer acquisition cost below AED 25 by Q3",,,goals
"9. Goals, budget and approvals",Baseline status,"Whether you know the current 'before' number for those goals. Without a baseline nobody can prove improvement later — so if it is an estimate, say so.",Required,Pick one,See 'Choice lists' → Baseline status,Estimated,,,baseline
"9. Goals, budget and approvals",Budget currency,The currency your marketing budget is set in.,Required,Pick one,See 'Choice lists' → Currencies,AED,,,budgetCurrency
"9. Goals, budget and approvals",Monthly budget,"How much you are prepared to spend on marketing each month, in the currency above. Write it the normal way, with decimals — for example 2500.00. This is a ceiling, not a target to spend.",Required,Money amount,A number in the budget currency above,2500.00,,,budgetMinor
"9. Goals, budget and approvals",Approval mode,"How much the platform may do without asking you first. Whichever you pick, anything that spends money or publishes publicly as your brand always waits for a human to approve it.",Required,Pick one,See 'Choice lists' → Approval mode,Approval required,,,approvalMode
"9. Goals, budget and approvals",Hard and soft constraints,"The lines we must not cross and the ones we should avoid, one per line. Minimum prices, discounts you will never run, competitors you will not name, imagery you will not use, days you do not promote.",Optional,List — one per line,—,"Never discount below 20% margin
No alcohol imagery
No promotions during Ramadan daylight hours",,,constraints
10. Integrations and data uploads,Available integrations and files,"Everything the agency can be given access to, or that you can export and send. Pick all that apply. Access itself is granted later through each provider's own secure login flow — never by sending a password.",Required,Pick one or more,See 'Choice lists' → Data sources and integrations,POS export; Google Business Profile; Meta Business Suite; Menu or catalog file,,,sources
10. Integrations and data uploads,Permission gaps,"Anything above that you cannot grant access to yet, and why, one per line. Each gap becomes a task somebody can chase, so naming it here saves a week later.",Optional,List — one per line,—,"No admin access to the Meta page — the previous agency holds it
Talabat portal login sits with head office",,,permissions
10. Integrations and data uploads,Upload notes,"Which files you are sending with this sheet, and which ones are still to come. Accepted file types are CSV, TXT, PDF, PNG and JPEG, up to 50 MB each.",Optional,Short paragraph,—,"Attached: menu-2026.pdf, pos-export-2025.csv. Still to come: supplier cost sheet from accounts.",,,uploadNotes
10. Integrations and data uploads,Files to send with this sheet,"Attach whatever supports your answers — menu or price list, POS export, marketplace statements, brand guidelines, a recent invoice showing packaging cost. Original exports beat retyped figures every time.",Optional,Attach files by email,"CSV, TXT, PDF, PNG or JPEG, up to 50 MB each",menu-2026.pdf,,,(files)
11. Review and readiness,Nothing to fill in here,"This last step is ours, not yours. Once your answers are in, the platform scores how ready the business is, lists anything still missing, and a named person on the agency side confirms the review. If something critical is still open, we will come back to you with a short, specific list rather than this whole sheet again.",—,No input needed,—,—,,,(none)
