date,channel,units_sold,promotion_funding_aed
2026-06-01,deliveroo,128,94.34
2026-06-01,noon_food,80,75.11
2026-06-01,talabat,182,0.00
2026-06-02,deliveroo,135,87.69
2026-06-02,noon_food,76,57.87
2026-06-02,talabat,231,201.17
2026-06-03,deliveroo,144,134.31
2026-06-03,noon_food,60,0.00
2026-06-03,talabat,228,223.85
2026-06-04,deliveroo,143,0.00
2026-06-04,noon_food,93,66.24
2026-06-04,talabat,216,0.00
2026-06-05,deliveroo,148,112.40
2026-06-05,noon_food,104,89.70
2026-06-05,talabat,251,230.71
2026-06-06,deliveroo,125,189.19
2026-06-06,noon_food,97,68.48
2026-06-06,talabat,273,170.29
2026-06-07,deliveroo,144,133.07
2026-06-07,noon_food,68,0.00
2026-06-07,talabat,224,181.47
2026-06-08,deliveroo,101,145.11
2026-06-08,noon_food,67,0.00
2026-06-08,talabat,170,0.00
2026-06-09,deliveroo,98,0.00
2026-06-09,noon_food,55,0.00
2026-06-09,talabat,186,125.61
2026-06-10,deliveroo,102,0.00
2026-06-10,noon_food,66,47.02
2026-06-10,talabat,158,0.00
2026-06-11,deliveroo,157,125.67
2026-06-11,noon_food,82,53.53
2026-06-11,talabat,270,213.65
2026-06-12,deliveroo,158,153.86
2026-06-12,noon_food,98,80.25
2026-06-12,talabat,215,0.00
2026-06-13,deliveroo,161,114.67
2026-06-13,noon_food,76,0.00
2026-06-13,talabat,221,0.00
2026-06-14,deliveroo,163,0.00
2026-06-14,noon_food,56,0.00
2026-06-14,talabat,187,114.55
2026-06-15,deliveroo,126,80.12
2026-06-15,noon_food,76,53.82
2026-06-15,talabat,191,114.14
2026-06-16,deliveroo,104,0.00
2026-06-16,noon_food,62,50.31
2026-06-16,talabat,147,0.00
2026-06-17,deliveroo,103,154.48
2026-06-17,noon_food,73,49.50
2026-06-17,talabat,199,114.52
2026-06-18,deliveroo,163,0.00
2026-06-18,noon_food,81,69.40
2026-06-18,talabat,240,190.96
2026-06-19,deliveroo,171,147.67
2026-06-19,noon_food,85,0.00
2026-06-19,talabat,247,0.00
2026-06-20,deliveroo,146,0.00
2026-06-20,noon_food,89,61.63
2026-06-20,talabat,217,0.00
2026-06-21,deliveroo,130,119.31
2026-06-21,noon_food,75,59.14
2026-06-21,talabat,203,175.01
2026-06-22,deliveroo,119,72.89
2026-06-22,noon_food,71,46.29
2026-06-22,talabat,196,120.54
2026-06-23,deliveroo,108,0.00
2026-06-23,noon_food,60,44.06
2026-06-23,talabat,158,0.00
2026-06-24,deliveroo,107,0.00
2026-06-24,noon_food,75,55.47
2026-06-24,talabat,187,0.00
2026-06-25,deliveroo,157,161.73
2026-06-25,noon_food,62,0.00
2026-06-25,talabat,251,0.00
2026-06-26,deliveroo,192,174.70
2026-06-26,noon_food,84,0.00
2026-06-26,talabat,248,142.59
2026-06-27,deliveroo,164,165.93
2026-06-27,noon_food,94,78.75
2026-06-27,talabat,255,178.01
2026-06-28,deliveroo,148,112.04
2026-06-28,noon_food,75,41.76
2026-06-28,talabat,181,0.00
2026-06-29,deliveroo,120,98.72
2026-06-29,noon_food,63,40.02
2026-06-29,talabat,203,170.60
2026-06-30,deliveroo,127,114.92
2026-06-30,noon_food,56,0.00
2026-06-30,talabat,200,166.99
2026-07-01,deliveroo,147,108.34
2026-07-01,noon_food,80,57.49
2026-07-01,talabat,158,0.00
2026-07-02,deliveroo,134,88.38
2026-07-02,noon_food,86,0.00
2026-07-02,talabat,217,123.94
2026-07-03,deliveroo,177,120.52
2026-07-03,noon_food,77,0.00
2026-07-03,talabat,271,203.02
2026-07-04,deliveroo,157,165.14
2026-07-04,noon_food,79,51.51
2026-07-04,talabat,211,0.00
2026-07-05,deliveroo,138,92.33
2026-07-05,noon_food,55,67.16
2026-07-05,talabat,192,116.87
2026-07-06,deliveroo,95,0.00
2026-07-06,noon_food,56,0.00
2026-07-06,talabat,216,125.65
2026-07-07,deliveroo,104,0.00
2026-07-07,noon_food,65,46.29
2026-07-07,talabat,225,147.43
2026-07-08,deliveroo,137,148.39
2026-07-08,noon_food,64,43.22
2026-07-08,talabat,229,165.64
2026-07-09,deliveroo,114,0.00
2026-07-09,noon_food,91,74.00
2026-07-09,talabat,248,122.98
2026-07-10,deliveroo,122,175.96
2026-07-10,noon_food,84,47.93
2026-07-10,talabat,269,0.00
2026-07-11,deliveroo,175,0.00
2026-07-11,noon_food,96,0.00
2026-07-11,talabat,288,190.37
2026-07-12,deliveroo,102,150.91
2026-07-12,noon_food,79,55.26
2026-07-12,talabat,202,231.23
2026-07-13,deliveroo,108,91.34
2026-07-13,noon_food,69,62.01
2026-07-13,talabat,150,87.63
2026-07-14,deliveroo,99,59.30
2026-07-14,noon_food,52,0.00
2026-07-14,talabat,182,135.52
2026-07-15,deliveroo,118,112.20
2026-07-15,noon_food,49,0.00
2026-07-15,talabat,147,0.00
2026-07-16,deliveroo,164,159.90
2026-07-16,noon_food,61,0.00
2026-07-16,talabat,195,104.19
2026-07-17,deliveroo,135,107.14
2026-07-17,noon_food,68,0.00
2026-07-17,talabat,242,197.99
2026-07-18,deliveroo,118,179.88
2026-07-18,noon_food,89,67.18
2026-07-18,talabat,232,141.20
2026-07-19,deliveroo,129,130.48
2026-07-19,noon_food,68,46.44
2026-07-19,talabat,165,0.00
2026-07-20,deliveroo,93,0.00
2026-07-20,noon_food,59,35.65
2026-07-20,talabat,158,100.03
2026-07-21,noon_food,58,34.07
2026-07-21,talabat,160,0.00
2026-07-22,noon_food,59,40.03
2026-07-22,talabat,165,102.62
2026-07-23,deliveroo,103,156.23
2026-07-23,noon_food,60,0.00
2026-07-23,talabat,185,0.00
2026-07-24,deliveroo,127,0.00
2026-07-24,noon_food,94,0.00
2026-07-24,talabat,257,265.73
2026-07-25,deliveroo,138,0.00
2026-07-25,noon_food,74,38.76
2026-07-25,talabat,183,256.86
2026-07-26,deliveroo,130,121.69
2026-07-26,noon_food,64,36.02
2026-07-26,talabat,170,89.30
2026-07-27,deliveroo,120,85.75
2026-07-27,noon_food,63,33.10
2026-07-27,talabat,205,158.69
2026-07-28,deliveroo,108,83.88
2026-07-28,noon_food,66,53.56
2026-07-28,talabat,199,0.00
2026-07-29,deliveroo,121,0.00
2026-07-29,noon_food,58,0.00
2026-07-29,talabat,164,0.00
2026-07-30,deliveroo,140,104.43
2026-07-30,noon_food,75,42.33
2026-07-30,talabat,226,178.65
2026-07-31,deliveroo,127,0.00
2026-07-31,noon_food,87,80.15
2026-07-31,talabat,205,129.76
2026-08-01,deliveroo,117,0.00
2026-08-01,noon_food,70,41.32
2026-08-01,talabat,235,200.37
2026-08-02,deliveroo,136,103.52
2026-08-02,noon_food,57,64.77
